,CAD,BRL,MXN,GBP,CHF,DKK,NOK,SEK,EUR,AUD,NZD,JPY,SGD,KRW,TWD,THB,MYR,INR
1990-01-02,1.1605,,,1.611,1.5768,6.635,6.6375,6.23,,0.7855,0.593,146.25,1.903,,,25.71,2.707,16.96
1990-01-03,1.1613,,,1.61,1.5785,6.6975,6.6575,6.27,,0.7818,0.594,145.7,1.9085,683.5,,,2.7085,16.99
1990-01-04,1.1614,,,1.6293,1.542,6.5525,6.57,6.176,,0.7867,0.5973,143.37,1.9,684.2,26.11,25.8,2.705,16.94
1990-01-05,1.16,,,1.637,1.537,6.557,6.55,6.172,,0.786,0.597,143.82,1.909,683.7,26.025,25.71,2.7075,16.93
1990-01-08,1.1601,,,1.653,1.5238,6.486,6.507,6.14,,0.7849,0.5985,144.1,1.896,683.6,25.915,25.74,2.703,16.93
1990-01-09,1.1614,,,1.6537,1.527,6.535,6.522,6.151,,0.7866,0.604,145.2,1.9005,684,25.99,25.71,2.7055,16.93
1990-01-10,1.1589,,,1.662,1.5125,6.53,6.51,6.142,,0.7886,0.607,145.25,1.8955,684.7,,25.74,2.7035,16.92
1990-01-11,1.157,,,1.6568,1.516,6.534,6.516,6.148,,0.791,0.6084,145.4,1.8955,685.2,26.0775,25.74,2.7005,16.93
1990-01-12,1.1571,,,1.6695,1.4945,6.5175,6.492,6.126,,0.7939,0.6115,145.4,1.8935,685.6,26.05,25.74,2.699,16.94
1990-01-15,,,,,,,,,,,,,,,,,,
1990-01-16,1.165,,,1.657,1.5165,6.575,6.532,6.168,,0.7894,0.609,145.48,1.8935,685.7,,25.75,2.7055,16.97
1990-01-17,1.164,,,1.6495,1.5067,6.5525,6.527,6.164,,0.7917,0.612,145.49,1.889,686.6,26.0825,25.75,2.703,16.97
1990-01-18,1.1713,,,1.6445,1.5185,6.617,6.574,6.2025,,0.7941,0.614,146.12,1.89,686.5,26.125,25.75,2.7045,16.98
1990-01-19,1.179,,,1.6465,1.5145,6.625,6.585,6.2175,,0.7935,0.6106,145.65,1.877,687.2,26.09,25.79,2.706,16.97
1990-01-22,1.183,,,1.639,1.532,6.6705,6.6185,6.258,,0.7954,0.6118,146.43,1.8795,687.9,26.15,25.8,2.7065,17.03
1990-01-23,1.178,,,1.649,1.508,6.5755,6.558,6.2055,,0.7751,0.6052,146.09,1.882,688.4,,25.8,2.7045,17
1990-01-24,1.1855,,,1.655,1.4965,6.5275,6.525,6.165,,0.7622,0.5915,145.32,1.876,687.9,26.16,25.76,2.7055,16.98
1990-01-25,1.1905,,,1.6572,1.488,6.5335,6.5375,6.17,,0.7583,0.5945,144.42,1.8775,687.8,26.151,25.75,2.7045,16.99
1990-01-26,1.1939,,,1.657,1.498,6.555,6.54,6.18,,0.7605,0.5928,143.35,1.872,,,,2.7045,16.97
1990-01-29,1.1885,,,1.678,1.486,6.4875,6.4925,6.14,,0.7635,0.595,143.13,1.869,687.7,,25.69,2.704,16.97
1990-01-30,1.1906,,,1.6818,1.491,6.5075,6.505,6.145,,0.766,0.597,144.1,1.8615,688.3,,25.69,2.699,16.96
1990-01-31,1.1858,,,1.6794,1.504,6.5315,6.513,6.16,,0.7685,0.602,144.55,1.864,689,26.132,25.73,2.699,16.97
1990-02-01,1.1864,,,1.6815,1.4982,6.505,6.495,6.11,,0.7702,0.5983,144.9,1.865,689.5,26.0575,25.72,2.6975,16.96
1990-02-02,1.1887,,,1.6817,1.497,6.524,6.508,6.15,,0.7735,0.6003,145.38,1.8675,690.1,26.08,25.72,2.699,16.96
1990-02-05,1.1899,,,1.695,1.4802,6.46,6.458,6.116,,0.7655,0.5998,145.39,1.866,690.8,26.105,25.74,2.7,16.95
1990-02-06,1.1879,,,1.702,1.4769,6.455,6.445,6.08,,0.7665,0.601,145.13,1.857,690.7,26.0825,25.71,2.701,16.95
1990-02-07,1.1935,,,1.699,1.4815,6.4125,6.43,6.06,,0.7575,0.5936,145.47,1.8595,690.5,26.0875,25.71,2.706,16.95
1990-02-08,1.1971,,,1.687,1.4948,6.4675,6.473,6.125,,0.7545,0.5915,145.4,1.863,691,26.119,25.73,2.706,16.96
1990-02-09,1.1956,,,1.6925,1.497,6.479,6.4715,6.1385,,0.7493,0.593,145.2,1.8645,691.8,26.1301,25.73,2.7055,16.96
1990-02-12,1.2024,,,1.695,1.4958,6.4545,6.4495,6.123,,0.7521,0.5926,144.2,1.8635,691.7,26.12,25.71,2.7055,16.99
1990-02-13,1.1999,,,1.6905,1.497,6.48,6.47,6.14,,0.7521,0.5925,144.4,1.866,691.6,26.121,25.72,2.7055,16.98
1990-02-14,1.2068,,,1.696,1.4923,6.465,6.47,6.13,,0.7457,0.5815,144.27,1.8635,692.4,26.121,25.71,2.705,16.97
1990-02-15,1.206,,,1.693,1.4955,6.4935,6.4865,6.14,,0.75,0.585,144.4,1.865,692.3,26.111,25.72,2.7005,16.97
1990-02-16,1.199,,,1.6955,1.4935,6.482,6.4805,6.142,,0.7567,0.5883,144.15,1.869,692.8,26.1175,25.73,2.7055,16.96
1990-02-19,,,,,,,,,,,,,,,,,,
1990-02-20,1.202,,,1.704,1.485,6.4675,6.479,6.285,,0.7595,0.5898,145.45,1.86,693.1,26.1275,25.7,2.702,17
1990-02-21,1.2013,,,1.715,1.4747,6.4365,6.454,6.102,,0.7586,0.5887,145.32,1.861,693.1,26.1425,25.72,2.702,17.03
1990-02-22,1.1945,,,1.7147,1.4725,6.438,6.4525,6.0935,,0.7646,0.5897,145.89,1.864,693.5,,25.72,2.7025,17
1990-02-23,1.197,,,1.71,1.477,6.46,6.47,6.089,,0.7652,0.5902,146.92,1.866,694.3,26.135,25.73,2.704,17.02
1990-02-26,1.198,,,1.693,1.487,6.495,6.515,6.1125,,0.765,0.5882,148.85,1.865,695.1,26.153,25.78,2.7045,17.05
1990-02-27,1.1948,,,1.692,1.4833,6.49,6.5075,6.1115,,0.7605,0.5877,148.63,1.8655,696,26.153,25.8,2.704,17.07
1990-02-28,1.1923,,,1.6892,1.4915,6.52,6.529,6.1265,,0.7601,0.588,148.82,1.867,696.7,26.1515,25.82,2.704,17.07
1990-03-01,1.1902,,,1.665,1.506,6.593,6.585,6.175,,0.7635,0.5872,149.67,1.875,,26.1545,25.85,2.707,17.07
1990-03-02,1.194,,,1.651,1.5135,6.6,6.605,6.185,,0.7596,0.5884,150.28,1.875,696.7,,25.87,2.707,17.08
1990-03-05,1.1906,,,1.6388,1.5,6.5475,6.5775,6.1575,,0.7585,0.5878,149.78,1.8725,695.9,26.155,25.87,2.708,17.05
1990-03-06,1.187,,,1.649,1.4995,6.542,6.575,6.155,,0.7611,0.5891,149.8,1.873,697.4,26.1605,25.82,2.707,17.07
1990-03-07,1.1851,,,1.639,1.5067,6.555,6.5825,6.188,,0.7596,0.5889,151.22,1.8745,698.3,26.17,25.86,2.71,17.05
1990-03-08,1.1795,,,1.6425,1.5093,6.53,6.5725,6.17,,0.7607,0.5879,150.83,1.874,699.6,26.25,25.85,2.7065,17.06
1990-03-09,1.1793,,,1.6181,1.5123,6.542,6.601,6.175,,0.7607,0.5907,151.34,1.8725,700.8,26.45,25.88,2.705,17.1
1990-03-12,1.179,,,1.6103,1.5239,6.56,6.62,6.195,,0.758,0.5892,152.38,1.874,701.1,26.361,25.88,2.708,17.09
1990-03-13,1.1778,,,1.6003,1.528,6.585,6.65,6.21,,0.761,0.5863,152.55,1.8775,701.4,26.3985,25.93,2.713,17.1
1990-03-14,1.1745,,,1.609,1.527,6.575,6.623,6.196,,0.7635,0.5874,152.24,1.875,701.3,26.395,25.91,2.712,17.09
1990-03-15,1.178,,,1.6175,1.522,6.534,6.5975,6.1725,,0.7563,0.5898,152.55,1.875,700.9,26.43,25.92,2.7165,17.07
1990-03-16,1.1803,,,1.6235,1.5095,6.506,6.572,6.145,,0.7536,0.588,152.38,1.874,699.9,26.5,25.9,2.7175,17.08
1990-03-19,1.1837,,,1.6103,1.5087,6.46,6.5575,6.13,,0.7549,0.5855,153.5,1.874,699,26.48,25.91,2.713,17.11
1990-03-20,1.1793,,,1.6105,1.5167,6.5055,6.594,6.15,,0.7565,0.5832,153.88,1.8745,699.7,26.455,25.91,2.722,17.09
1990-03-21,1.1768,,,1.5945,1.521,6.541,6.625,6.1775,,0.752,0.5793,154.16,1.8795,700.1,26.42,25.91,2.7265,17.13
1990-03-22,1.1767,,,1.601,1.515,6.5235,6.6135,6.174,,0.7504,0.581,155.1,1.882,700.5,26.4125,26,2.731,17.16
1990-03-23,1.175,,,1.604,1.5185,6.538,6.62,6.17,,0.7474,0.5785,153.9,1.8805,700.9,26.405,25.99,2.723,17.16
1990-03-26,1.1759,,,1.618,1.5265,6.5395,6.619,6.1785,,0.7469,0.5805,156.5,1.8835,702.2,26.405,25.99,2.728,17.22
1990-03-27,1.176,,,1.6261,1.518,6.526,6.612,6.17,,0.7452,0.5808,157.4,1.884,703.8,26.4,26.03,2.727,17.21
1990-03-28,1.1762,,,1.6275,1.516,6.5225,6.605,6.172,,0.7471,0.5767,158.75,1.8875,704.1,26.4075,26.06,2.729,17.18
1990-03-29,1.1743,,,1.634,1.498,6.4875,6.585,6.1425,,0.7523,0.5783,156.75,1.8865,703.1,,26.02,2.728,17.17
1990-03-30,1.1705,,,1.648,1.4975,6.4545,6.5455,6.114,,0.7548,0.579,157.82,1.8855,703.7,26.414,26,2.728,17.22
1990-04-02,1.1695,,,1.6315,1.5075,6.5155,6.602,6.157,,0.7561,0.5778,158.9,1.886,704.9,26.411,26.07,2.733,17.23
1990-04-03,1.1662,,,1.6355,1.5027,6.5,6.585,6.14,,0.7605,0.577,159.13,1.8845,706.6,,26.05,2.7325,17.24
1990-04-04,1.1673,,,1.6415,1.5065,6.5075,6.575,6.146,,0.7669,0.579,158.6,1.88,708.4,26.41,26.05,2.731,17.23
1990-04-05,1.1686,,,1.6415,1.501,6.499,6.58,6.145,,0.765,0.5782,157.68,1.878,708.4,,26.02,2.7295,17.24
1990-04-06,1.1655,,,1.6385,1.5013,6.4745,6.563,6.1345,,0.765,0.578,157.65,1.8755,709,26.39,26.02,2.7305,17.24
1990-04-09,1.1617,,,1.6385,1.4962,6.4625,6.5545,6.128,,0.763,0.5784,157.5,1.877,709.4,,25.99,2.729,17.24
1990-04-10,1.1615,,,1.6343,1.4963,6.4575,6.56,6.118,,0.7643,0.5783,158.58,1.88,709.7,26.28,26.03,2.732,17.28
1990-04-11,1.1652,,,1.6425,1.484,6.3905,6.517,6.0915,,0.7663,0.5792,158.28,1.8775,709.8,26.33,26.03,2.73,17.25
1990-04-12,1.1631,,,1.642,1.4828,6.385,6.515,6.105,,0.7663,0.5796,158.19,1.877,709,26.37,26.03,2.73,17.25
1990-04-13,1.165,,,1.6385,1.485,6.385,6.525,6.1,,0.765,0.5795,158.75,1.877,709.2,26.3275,,2.73,17.25
1990-04-16,1.167,,,1.631,1.4903,6.41,6.5325,6.108,,0.7654,0.5796,159.37,1.877,709.3,26.366,26.03,2.7345,17.25
1990-04-17,1.1683,,,1.6338,1.4905,6.396,6.529,6.103,,0.7653,0.5777,159.9,1.879,709.7,26.375,26.05,2.7335,17.33
1990-04-18,1.1623,,,1.638,1.484,6.382,6.52,6.085,,0.77,0.5788,159.1,1.8795,709.9,26.3715,26.05,2.73,17.3
1990-04-19,1.1619,,,1.6435,1.4828,6.377,6.5125,6.083,,0.7732,0.5815,156.5,1.875,709.8,26.361,26.01,2.719,17.29
1990-04-20,1.1628,,,1.6353,1.4913,6.434,6.5595,6.1225,,0.7705,0.5827,157.85,1.875,708.5,26.3601,25.98,2.7195,17.34
1990-04-23,1.161,,,1.6357,1.493,6.455,6.563,6.136,,0.7655,0.5828,157.7,1.8775,707.9,26.379,25.99,2.7195,17.36
1990-04-24,1.1593,,,1.6341,1.488,6.4435,6.5575,6.133,,0.7663,0.5818,158.72,1.8795,707.9,26.3775,26.02,2.7195,17.35
1990-04-25,1.1608,,,1.637,1.467,6.4065,6.534,6.108,,0.766,0.5817,158.73,1.8775,708.4,26.37,,2.7185,17.34
1990-04-26,1.1602,,,1.6335,1.4615,6.3955,6.5305,6.1065,,0.756,0.5755,158.75,1.8775,709,,26.01,2.719,17.39
1990-04-27,1.1634,,,1.636,1.457,6.374,6.5145,6.0885,,0.7503,0.5735,158.9,1.8775,709.4,26.3825,26.03,2.717,17.39
1990-04-30,1.1654,,,1.6389,1.4505,6.3895,6.53,6.098,,0.75,0.5748,158.85,1.877,709.8,26.407,26,2.716,17.39
1990-05-01,1.1648,,,1.6405,1.4555,6.388,6.532,6.105,,0.7457,0.5685,158.85,1.876,709.2,26.404,,2.7165,17.38
1990-05-02,1.1673,,,1.643,1.4555,6.397,6.522,6.0975,,0.752,0.5708,158.3,1.875,,26.404,26.02,2.7135,17.39
1990-05-03,1.167,,,1.6422,1.4544,6.389,6.52,6.097,,0.7552,0.5727,158.15,1.8775,708.6,26.3935,26.01,2.708,17.37
1990-05-04,1.1633,,,1.66,1.4447,6.348,6.48,6.08,,0.7546,0.5726,158.35,1.876,708.3,26.394,26.02,2.71,17.33
1990-05-07,1.1625,,,1.668,1.4325,6.295,6.45,6.048,,0.7565,0.5726,158,1.876,708.6,26.3985,26.01,2.71,17.33
1990-05-08,1.1635,,,1.6695,1.433,6.298,6.448,6.045,,0.7577,0.5747,157.9,1.8695,710.1,26.4145,26.02,2.703,17.35
1990-05-09,1.1662,,,1.678,1.404,6.263,6.396,6.004,,0.7585,0.5721,156.45,1.867,710.7,26.407,25.97,2.7015,17.32
1990-05-10,1.1653,,,1.6763,1.3955,6.254,6.405,6.019,,0.7587,0.5739,157,1.863,710.3,26.4035,25.93,2.696,17.3
1990-05-11,1.1785,,,1.6813,1.3952,6.2345,6.3755,5.9915,,0.76,0.57,152.73,1.851,710.4,26.44,25.9,2.695,17.29
1990-05-14,1.177,,,1.684,1.3957,6.273,6.4005,6.0135,,0.7669,0.5708,152.77,1.8505,710.5,,26.425,2.695,17.31
1990-05-15,1.181,,,1.677,1.398,6.289,6.411,6.0185,,0.7645,0.5725,151.4,1.8495,710.9,27.5,25.83,2.693,17.31
1990-05-16,1.1757,,,1.68,1.4,6.277,6.3995,6.014,,0.7625,0.5728,151.43,1.854,711.3,27.35,25.84,2.699,17.31
1990-05-17,1.1738,,,1.6917,1.404,6.2955,6.4,6.0215,,0.7617,0.5735,152.35,1.8535,711.7,,25.84,2.6995,17.33
1990-05-18,1.1783,,,1.6908,1.4048,6.296,6.4085,6.02,,0.7605,0.5725,152.85,1.8538,712,27.39,25.86,2.7005,17.25
1990-05-21,1.1795,,,1.6912,1.424,6.3455,6.445,6.059,,0.764,0.5735,153.53,1.8542,712.8,27.44,25.87,2.7025,17.29
1990-05-22,1.1922,,,1.6915,1.418,6.358,6.4495,6.0735,,0.764,0.5735,151.6,1.8544,714.5,,25.88,2.7058,17.3
1990-05-23,1.1836,,,1.694,1.4123,6.365,6.4505,6.0725,,0.7653,0.5737,151.23,1.85,714.8,27.5,25.85,2.701,17.29
1990-05-24,1.1855,,,1.6895,1.42,6.378,6.46,6.08,,0.7623,0.5739,151.55,1.848,714.3,27.4975,25.85,2.7,17.31
1990-05-25,1.1841,,,1.6892,1.4255,6.395,6.4775,6.0955,,0.7668,0.5733,149.69,1.848,714.6,27.5,25.84,2.6985,17.3
1990-05-28,,,,,,,,,,,,,,,,,,
1990-05-29,1.1818,,,1.6946,1.4098,6.3635,6.443,6.065,,0.766,0.5741,150.88,1.846,714.8,27.4996,25.81,2.7015,17.37
1990-05-30,1.178,,,1.693,1.421,6.405,6.465,6.0785,,0.772,0.5757,151.32,1.8485,715.3,27.47,25.85,2.7005,17.35
1990-05-31,1.1745,,,1.6765,1.433,6.46,6.51,6.133,,0.7678,0.5768,152.64,1.854,715.1,27.45,25.86,2.7035,17.36
1990-06-01,1.1726,,,1.6838,1.436,6.471,6.505,6.113,,0.7693,0.5752,151.39,1.854,714.1,27.445,25.89,2.709,17.38
1990-06-04,1.1766,,,1.675,1.441,6.45,6.514,6.123,,0.7676,0.5768,151.6,1.854,714.3,27.44,25.9,2.7105,17.44
1990-06-05,1.1757,,,1.683,1.4347,6.442,6.517,6.109,,0.771,0.5776,152.65,1.851,715.9,27.442,25.89,2.709,17.42
1990-06-06,1.1728,,,1.6882,1.4285,6.4395,6.4915,6.1015,,0.7718,0.5819,152.55,1.849,715.9,27.43,25.89,2.7085,17.4
1990-06-07,1.1683,,,1.6883,1.4385,6.446,6.502,6.1135,,0.7775,0.5828,152.53,1.8494,716.5,27.405,25.89,2.7063,17.38
1990-06-08,1.175,,,1.6848,1.4478,6.463,6.5175,6.137,,0.7725,0.5812,153.53,1.8495,717.1,27.4051,25.89,2.708,17.44
1990-06-11,1.1711,,,1.6858,1.4405,6.442,6.505,6.13,,0.7751,0.5785,154.52,1.852,717.9,27.415,25.92,2.7095,17.46
1990-06-12,1.1715,,,1.7025,1.437,6.442,6.5025,6.118,,0.774,0.5783,154.44,1.849,718.7,27.4125,25.91,2.7095,17.42
1990-06-13,1.1722,,,1.707,1.4328,6.4345,6.4925,6.1085,,0.7743,0.5806,154.79,1.8485,719,27.43,25.9,2.7105,17.38
1990-06-14,1.1705,,,1.7052,1.4355,6.445,6.495,6.109,,0.775,0.5823,154.07,1.8485,718.9,27.426,25.87,2.7115,17.42
1990-06-15,1.172,,,1.7055,1.436,6.455,6.51,6.128,,0.7756,0.5816,154.2,1.85,718.6,27.44,25.89,2.7125,17.43
1990-06-18,1.1727,,,1.713,1.4165,6.37,6.413,6.0825,,0.7792,0.5823,153.7,1.849,719,27.44,25.87,2.7125,17.42
1990-06-19,1.1741,,,1.7205,1.4077,6.354,6.439,6.057,,0.784,0.583,153.65,1.8425,719.5,27.4375,25.85,2.7105,17.42
1990-06-20,1.1724,,,1.723,1.4145,6.3825,6.458,6.077,,0.7833,0.5825,154,1.8425,719.3,27.42,25.85,2.7105,17.42
1990-06-21,1.1749,,,1.725,1.4155,6.388,6.463,6.079,,0.7901,0.5875,154.82,1.8425,718.9,27.415,25.86,2.712,17.42
1990-06-22,1.1822,,,1.733,1.409,6.371,6.439,6.061,,0.7852,0.586,154.75,1.8425,719,27.4,25.87,2.7105,17.45
1990-06-25,1.1794,,,1.7305,1.4107,6.3885,6.454,6.073,,0.7851,0.5852,155.37,1.8435,719.6,27.33,25.88,2.712,17.44
1990-06-26,1.1732,,,1.7355,1.406,6.359,6.4175,6.0475,,0.7846,0.5873,155.15,1.845,719.6,27.3361,25.88,2.712,17.4
1990-06-27,1.1705,,,1.7428,1.408,6.3375,6.405,6.0335,,0.7875,0.5872,154.38,1.845,719.4,27.3201,25.84,2.711,17.42
1990-06-28,1.1698,,,1.7393,1.4137,6.3495,6.42,6.044,,0.7853,0.5872,153.17,1.841,719.3,27.22,25.84,2.7115,17.45
1990-06-29,1.1665,,,1.745,1.4155,6.339,6.409,6.0375,,0.7916,0.5883,152.35,1.841,719,27.195,25.81,2.711,17.43
1990-07-02,1.1619,,,1.7634,1.404,6.307,6.372,6.01,,0.7964,0.5903,151.27,1.8325,718.8,,25.78,2.7045,17.45
1990-07-03,1.1625,,,1.7795,1.3945,6.287,6.352,5.997,,0.7974,0.5902,151.2,1.833,718.3,27.17,25.76,2.706,17.45
1990-07-04,,,,,,,,,,,,,,,,,,
1990-07-05,1.1632,,,1.7805,1.3997,6.2825,6.34,5.9905,,0.799,0.59,150.77,1.832,718.7,27.1475,25.73,2.7065,17.42
1990-07-06,1.1632,,,1.7865,1.4015,6.296,6.351,5.998,,0.7974,0.5903,151.03,1.831,718.8,27.1385,25.75,2.707,17.42
1990-07-09,1.1592,,,1.8058,1.3955,6.274,6.33,5.9675,,0.8025,0.5912,151.1,1.8225,719.6,27.1325,,2.7055,17.38
1990-07-10,1.1572,,,1.815,1.3963,6.27,6.311,5.962,,0.8066,0.5933,148.9,1.8175,720.3,27.1425,25.72,2.702,17.36
1990-07-11,1.1597,,,1.798,1.4035,6.285,6.331,5.981,,0.7965,0.5938,148.68,1.812,720.2,27.1325,25.67,2.703,17.39
1990-07-12,1.1593,,,1.7985,1.405,6.312,6.3,6.002,,0.7913,0.5881,148.6,1.8195,719.7,27.1275,25.7,2.704,17.47
1990-07-13,1.1579,,,1.806,1.393,6.255,6.31,5.969,,0.7804,0.5918,147.5,1.8175,718.8,27.13,25.65,2.704,17.42
1990-07-16,1.1589,,,1.804,1.4165,6.287,6.338,5.979,,0.7815,0.5892,148.05,1.8175,718.8,27.1125,,2.7065,17.45
1990-07-17,1.1563,,,1.8112,1.407,6.263,6.319,5.966,,0.7899,0.5918,148.35,1.8175,,27.1135,25.71,2.7065,17.44
1990-07-18,1.153,,,1.8205,1.4088,6.254,6.303,5.952,,0.7915,0.5928,147.3,1.81,718.7,27.125,25.69,2.7045,17.39
1990-07-19,1.1538,,,1.8146,1.41,6.2495,6.2965,5.959,,0.7819,0.5923,148.05,1.8165,718.4,27.1775,25.71,2.706,17.42
1990-07-20,1.1573,,,1.8143,1.4075,6.25,6.299,5.953,,0.7838,0.595,148.97,1.8165,718.2,27.27,25.66,2.7075,17.4
1990-07-23,1.157,,,1.8205,1.3885,6.193,6.25,5.9165,,0.7839,0.5937,148.45,1.8135,718.4,,25.71,2.7055,17.42
1990-07-24,1.156,,,1.8248,1.375,6.1625,6.241,5.8975,,0.7858,0.5942,148.35,1.8163,718.4,27.2195,25.7,2.7075,17.42
1990-07-25,1.152,,,1.812,1.374,6.165,6.2535,5.9025,,0.7859,0.5918,148.88,1.821,718.4,27.22,25.73,2.7075,17.42
1990-07-26,1.1517,,,1.8135,1.3782,6.18,6.2625,5.9125,,0.7792,0.5894,150.45,1.8215,718.2,27.1995,25.71,2.708,17.43
1990-07-27,1.1522,,,1.8335,1.3685,6.15,6.2275,5.89,,0.7897,0.5888,149.6,1.819,718.2,27.1665,25.72,2.7075,17.4
1990-07-30,1.1523,,,1.8438,1.365,6.139,6.208,5.87,,0.7916,0.591,148.2,1.812,718.1,27.18,25.67,2.7015,17.35
1990-07-31,1.153,,,1.86,1.3477,6.05,6.1465,5.813,,0.7938,0.5918,146.13,1.807,717.9,27.187,25.64,2.697,17.35
1990-08-01,1.1535,,,1.855,1.3555,6.081,6.164,5.8285,,0.794,0.594,147.25,1.806,716.9,27.185,25.59,2.6925,17.37
1990-08-02,1.1523,,,1.8492,1.3565,6.085,6.1675,5.839,,0.7859,0.589,149.6,1.8085,716.3,27.193,25.61,2.701,17.38
1990-08-03,1.1515,,,1.8565,1.351,6.0675,6.1615,5.8355,,0.785,0.5936,149.9,1.809,716.2,27.285,25.68,2.7005,17.35
1990-08-06,1.1485,,,1.872,1.3322,6.016,6.109,5.797,,0.79,0.5987,149.75,1.804,717.1,27.3075,25.67,2.6995,17.28
1990-08-07,1.1503,,,1.877,1.331,6.014,6.1125,5.806,,0.7925,0.6017,149.8,1.804,717.9,27.329,25.67,2.7,17.29
1990-08-08,1.149,,,1.8655,1.344,6.078,6.156,5.845,,0.7953,0.6018,150.15,1.8075,718.3,,25.67,2.702,17.34
1990-08-09,1.147,,,1.8717,1.3385,6.0705,6.15,5.838,,0.7992,0.601,149.82,1.806,717.8,27.38,25.66,2.7025,17.35
1990-08-10,1.1475,,,1.8713,1.339,6.073,6.14,5.825,,0.7977,0.6015,150.15,1.8055,718.2,27.372,25.66,2.7025,17.39
1990-08-13,1.147,,,1.884,1.3165,6.01,6.11,5.788,,0.8025,0.6085,150.35,1.799,719.1,27.353,25.66,2.698,17.35
1990-08-14,1.1454,,,1.8925,1.306,5.984,6.084,5.769,,0.8061,0.6075,149.48,1.798,719.9,27.3145,25.64,2.687,17.34
1990-08-15,1.1435,,,1.8998,1.293,5.969,6.0625,5.759,,0.8071,0.618,147.45,1.796,,,25.59,2.6945,17.28
1990-08-16,1.1482,,,1.898,1.3035,5.9715,6.0655,5.7555,,0.8045,0.6173,148.38,1.796,719.7,,25.59,2.695,17.37
1990-08-17,1.1445,,,1.919,1.2815,5.935,6.029,5.725,,0.807,0.619,147.57,1.791,720.5,,25.58,2.693,17.26
1990-08-20,1.1438,,,1.9198,1.2918,5.975,6.045,5.749,,0.808,0.6197,146.87,1.79,720.3,27.255,25.56,2.694,17.28
1990-08-21,1.1395,,,1.921,1.2868,5.965,6.05,5.745,,0.8162,0.622,146.4,1.7895,719.4,27.2575,25.55,2.6985,17.32
1990-08-22,1.1365,,,1.9275,1.2735,5.965,6.036,5.745,,0.8205,0.6258,145.75,1.787,719,27.2855,25.55,2.698,17.32
1990-08-23,1.1316,,,1.9515,1.2605,5.957,6.003,5.721,,0.8293,0.6308,146.6,1.775,718.3,27.3,25.52,2.695,17.27
1990-08-24,1.1338,,,1.9453,1.2685,5.9615,6.025,5.75,,0.833,0.6295,146.55,1.7775,718.5,27.2749,25.5,2.695,17.3
1990-08-27,1.1372,,,1.9443,1.275,5.9515,6.0055,5.7115,,0.8311,0.628,144.45,1.7745,718.7,,25.53,2.6958,17.39
1990-08-28,1.1422,,,1.9483,1.2815,5.9425,6.009,5.7205,,0.8302,0.6313,143.48,1.764,718,27.28,25.44,2.6875,17.36
1990-08-29,1.1378,,,1.9465,1.285,5.9625,6.026,5.733,,0.8325,0.6303,143.62,1.764,717.6,27.287,25.45,2.6895,17.38
1990-08-30,1.1455,,,1.9225,1.296,6,6.061,5.7605,,0.8168,0.6132,144.3,1.765,717.2,,25.46,2.689,17.48
1990-08-31,1.1545,,,1.892,1.3085,6.0415,6.09,5.789,,0.816,0.6153,143.93,1.765,716.8,27.2925,25.49,2.689,17.52
1990-09-03,,,,,,,,,,,,,,,,,,
1990-09-04,1.1615,,,1.8758,1.3175,6.07,6.1235,5.8125,,0.8147,0.6165,143.55,1.764,716.2,27.2945,25.5,2.689,17.64
1990-09-05,1.1529,,,1.899,1.2975,5.99,6.0555,5.7545,,0.8278,0.624,141.68,1.748,716.9,27.3,25.47,2.6875,17.54
1990-09-06,1.1579,,,1.908,1.2988,5.9585,6.0305,5.735,,0.8237,0.6255,141.05,1.759,717.8,27.301,25.43,2.6875,17.56
1990-09-07,1.1635,,,1.894,1.304,5.991,6.0565,5.754,,0.8208,0.6233,140.1,1.7778,718.6,27.301,25.4,2.689,17.68
1990-09-10,1.1705,,,1.8555,1.319,6.04,6.106,5.7925,,0.8123,0.6202,139.2,1.7695,719.1,27.311,25.39,2.689,17.76
1990-09-11,1.163,,,1.8485,1.3305,6.08,6.14,5.825,,0.817,0.6185,139.85,1.769,719,27.3098,25.42,2.695,17.77
1990-09-12,1.1628,,,1.864,1.3232,6.055,6.115,5.8,,0.8187,0.6215,137.7,1.771,718.1,27.3103,25.41,2.691,17.76
1990-09-13,1.1644,,,1.8767,1.3139,6.015,6.075,5.76,,0.821,0.624,137.35,1.782,718.3,27.3235,25.37,2.699,17.8
1990-09-14,1.1647,,,1.8985,1.2905,5.975,6.048,5.737,,0.8267,0.6275,136.67,1.772,718.8,27.2975,25.34,2.6955,17.85
1990-09-17,1.1594,,,1.9025,1.287,5.938,6.028,5.72,,0.8316,0.623,137,1.7655,719.3,27.2975,25.32,2.697,17.86
1990-09-18,1.1575,,,1.918,1.2825,5.907,6.0025,5.698,,0.8335,0.625,137.5,1.766,719.3,27.299,25.32,2.6975,17.83
1990-09-19,1.1575,,,1.8847,1.306,5.978,6.064,5.7595,,0.8291,0.6225,137.5,1.7655,718.4,27.292,25.36,2.698,17.85
1990-09-20,1.1546,,,1.8683,1.32,6.022,6.108,5.788,,0.8266,0.619,136.93,1.7665,717.9,27.297,25.35,2.6995,18
1990-09-21,1.1532,,,1.846,1.3222,6.005,6.1,5.785,,0.8288,0.613,136.9,1.7695,718,27.293,25.36,2.703,18.12
